Pair,Ticker1,Ticker2,P_Value,Steps,Total_Trades,Cumulative_Reward,Avg_Reward_Per_Step,Win_Rate,Avg_PnL_Per_Trade,Total_Realized_PnL
BNTX-RGEN,BNTX,RGEN,0.0327253009667976,289,52,1941.4768094862113,6.7179128355924265,100.0,0.6588088416473531,34.25805976566236
DRIO-XRAY,DRIO,XRAY,0.0145932875896142,253,31,1823.7288932470515,7.208414597814433,100.0,1.0591185805027434,32.83267599558505
DRIO-SDGR,DRIO,SDGR,0.0054344121873243,290,40,1755.7734461951811,6.054391193776486,97.5,0.780209338743388,31.208373549735523
EXAS-RARE,EXAS,RARE,0.0438770612956178,273,31,1653.8004642393785,6.057877158386002,96.7741935483871,0.9658841704770181,29.942409284787562
CRSP-NVAX,CRSP,NVAX,0.0059519171953108,277,52,1746.6477741331903,6.305587632249784,94.23076923076923,0.5727568362050731,29.7833554826638
ENTA-VRTX,ENTA,VRTX,0.0466018510326566,281,27,1674.9585526967992,5.9607065932270435,100.0,1.0883602706946136,29.385727308754568
TMDX-VRTX,TMDX,VRTX,0.0392489438080511,291,24,1567.5220121409777,5.386673581240474,100.0,1.2039777849592248,28.895466839021395
CRSP-VRTX,CRSP,VRTX,0.0488179015748126,271,24,1483.3039867777763,5.473446445674451,95.83333333333334,1.13129498898148,27.15107973555552
DRIO-RARE,DRIO,RARE,0.0009517597517262,245,14,1483.6937589596496,6.055892893712856,100.0,1.811498884219884,25.360984379078378
AMGN-LLY,AMGN,LLY,0.000178948040538,279,32,1476.6159640149856,5.292530336971274,100.0,0.7607063428928962,24.342602972572678
NVAX-RARE,NVAX,RARE,0.0181348423665105,293,35,1356.6766680873704,4.630295795520036,88.57142857142857,0.6834495246213543,23.920733361747402
AMGN-ENTA,AMGN,ENTA,0.0403423984321565,274,28,1328.695727512086,4.849254479971117,100.0,0.8464183767943473,23.699714550241723
NVAX-VRTX,NVAX,VRTX,0.033957102413359,253,21,1296.3348137127646,5.1238530186275275,100.0,1.1178755645705232,23.475386855980986
MRNA-RGEN,MRNA,RGEN,0.0131999397244571,265,26,1308.1946353287342,4.936583529542393,100.0,0.8912101976399105,23.17146513863767
DRIO-NVAX,DRIO,NVAX,0.001757617812737,280,26,1303.4360108537073,4.655128610191812,100.0,0.8320229861987556,21.632597641167646
RGEN-VRTX,RGEN,VRTX,0.0163813356246521,277,27,1224.1943825004762,4.4194743050558705,100.0,0.7760280702283787,20.952757896166226
DXCM-XRAY,DXCM,XRAY,0.0473808477967951,286,32,1271.0563618481035,4.444253013454907,100.0,0.6537689680760449,20.920606978433437
DXCM-MRNA,DXCM,MRNA,0.035748675832787,259,26,1158.3567146618645,4.472419747729207,100.0,0.7762141591373423,20.1815681375709
INCY-UNH,INCY,UNH,0.0367090187672077,273,18,1084.5831333472943,3.972831990283129,94.44444444444444,1.1008590370525488,19.81546266694588
CRSP-DRIO,CRSP,DRIO,0.0008767078384926,256,27,1120.2843633307218,4.376110794260632,100.0,0.725603232096831,19.591287266614437
AMGN-TMDX,AMGN,TMDX,0.005478374533616,294,24,1097.715622387203,3.733726606759194,100.0,0.8093644940472675,19.42474785713442
DRIO-ILMN,DRIO,ILMN,0.0130751060067288,254,18,1119.951779045249,4.4092589726190905,100.0,1.0751513868518865,19.352724963333955
IHF-INCY,IHF,INCY,0.0381884941846724,277,24,1136.2394204089333,4.101947366097232,100.0,0.8059416085128128,19.342598604307508
EXAS-SDGR,EXAS,SDGR,0.0426965081042117,261,21,793.3929292679727,3.0398196523677115,95.23809523809523,0.6558218373980692,13.772258585359452
VEEV-XBI,VEEV,XBI,0.0485027645921375,254,19,771.5313356323305,3.0375249434343723,100.0,0.7060329848761374,13.41462671264661
CRSP-EXAS,CRSP,EXAS,0.0426925631508458,245,21,806.0336992874829,3.289933466479522,100.0,0.6309560855498443,13.25007779654673
RGEN-XRAY,RGEN,XRAY,0.0181634653813361,250,19,772.5713655394729,3.0902854621578917,100.0,0.6935442330883981,13.177340428679564
ACAD-RXL,ACAD,RXL,0.013600284639887,257,12,705.2680370941439,2.7442336073702096,100.0,1.06899672849024,12.82796074188288
CRSP-RARE,CRSP,RARE,0.001082043753667,264,23,730.5117597263094,2.767089998963293,95.65217391304348,0.5371754432402689,12.355035194526184
CRSP-SDGR,CRSP,SDGR,0.030477096276609,260,18,704.3096373726157,2.708883220663907,100.0,0.6783329304140173,12.209992747452311
IHF-TMO,IHF,TMO,0.0061220369211969,259,36,798.995674094655,3.0849253826048457,100.0,0.33853648560814154,12.187313481893096
EXAS-XBI,EXAS,XBI,0.0263162103661282,255,26,711.6685894977996,2.7908572137168615,100.0,0.4445681457675381,11.55877178995599
ABBV-AZN,ABBV,AZN,0.0198452815819919,259,40,761.111354491842,2.9386538783468805,97.5,0.2827951416996151,11.311805667984604
AZN-TMDX,AZN,TMDX,0.0088767323848809,252,18,660.9463202965495,2.6228028583196408,100.0,0.6004738777753335,10.808529799956002
ACAD-IHF,ACAD,IHF,0.0058155153180992,294,19,570.5757198526051,1.9407337409952554,94.73684210526315,0.48937776621281376,9.298177558043461
RXL-TMO,RXL,TMO,0.0299611529645916,271,34,630.3809587811201,2.326128999192325,100.0,0.2709638927713798,9.212772354226912
