,ABBV,ACAD,ALGN,AMGN,AZN,BIIB,BNTX,CRSP,DRIO,DXCM,ENTA,EXAS,GILD,IBB,IHF,IHI,ILMN,INCY,JNJ,LLY,MRK,MRNA,NVAX,PFE,RARE,REGN,RGEN,RXL,SDGR,SRPT,TMDX,TMO,UNH,VEEV,VHT,VRTX,XBI,XLV,XRAY
ABBV,1.0,0.897265849289624,0.656966229522769,0.08474231434383406,0.019845281581991964,0.39426539128858556,0.9452614291087785,0.6964915009108937,0.5129635811486642,0.7504454893288233,0.7506728448421529,0.9529682631262917,0.4363015853068537,0.9728588264217544,0.9715966361397619,0.8685266664909721,0.4930304475579202,0.9757232791601583,0.6898761316562703,0.2705898414052802,0.9553673579845124,0.7819302414267852,0.5037913644604884,0.9072862864775268,0.5358933160164386,0.9880877460031142,0.9088129605599929,0.9105698455449427,0.18749410958852886,0.748086734442071,0.269706427386847,0.9583265411865389,0.9939041041025078,0.9643900432160496,0.5376343326099406,0.5153944496577841,0.955193867926824,0.5516776439347453,0.29895915337410944
ACAD,0.897265849289624,1.0,0.39184208111837504,0.35901009680861473,0.3516556330476943,0.4810419348712367,0.3847300078167792,0.22910404533794243,0.2937976167654003,0.4181869587682695,0.4424650629769293,0.28007829767831394,0.4817984107144157,0.3977667847289946,0.005815515318099265,0.2107741585009788,0.3759146798095171,0.22381831904231864,0.3240339215067036,0.4787037239135735,0.29002957198592827,0.4312075130378182,0.27392222247050146,0.3684204412231125,0.25787318304597884,0.4372209750575961,0.41196091148917935,0.013600284639887082,0.1439346465053315,0.44947438512050547,0.3689580762455963,0.13011793517421133,0.09209066190503085,0.30213522478189103,0.09244939545510145,0.357367248423239,0.42301151854914865,0.08802863144635092,0.5123927915486025
ALGN,0.656966229522769,0.39184208111837504,1.0,0.360001320904018,0.3472192889446951,0.5226401035104669,0.3540818321637542,0.37651747377647793,0.11344610609337741,0.6444548724198531,0.6641033926025992,0.6988567624367727,0.5790841271886136,0.9617755163487108,0.9033653274904296,0.9549843023594571,0.3005704055877252,0.8830056910970991,0.6879354127730348,0.5206296172110659,0.7114652825196642,0.1308788749192219,0.2511976589421,0.8330373887441878,0.39050102511448437,0.7552508436068397,0.3217721250885903,0.9227074572120508,0.5173827577258449,0.8611711989064754,0.5062715421441832,0.9162197145115389,0.8628518173062867,0.7847017645003046,0.7910620159231905,0.26803831658950916,0.9077561841150008,0.6976223580418092,0.1072454136517948
AMGN,0.08474231434383406,0.35901009680861473,0.360001320904018,1.0,0.058721055619507447,0.13342533986346578,0.6502629802071749,0.5011090261365477,0.22219482782791888,0.5128611995561703,0.04034239843215652,0.7189616389563902,0.38488741397601467,0.843511864509453,0.9137801414788528,0.8053520029756591,0.08355424075124807,0.7768508263906339,0.6027321054115653,0.00017894804053802466,0.7688677266965201,0.3380261096562164,0.34959063798104834,0.3496298097603639,0.39722042818353803,0.8850251387308732,0.548767382916717,0.8606056934826989,0.3897365708230068,0.7298122386144266,0.005478374533616013,0.8698705231445965,0.9529460606390401,0.8151901681541349,0.4541647630146451,0.07710085138856082,0.7986791854070339,0.39130269098560755,0.05185712139171993
AZN,0.019845281581991964,0.3516556330476943,0.3472192889446951,0.058721055619507447,1.0,0.2706615646314299,0.8486259297133213,0.4625244388106506,0.2361005379207632,0.7838560004518833,0.3341587533702052,0.8428165896253778,0.28485839607842867,0.901562225366838,0.9373470677750446,0.8372551469340175,0.19372815962979523,0.9054046310117259,0.36670702547202605,0.10717801386782605,0.8032624215154198,0.6987453318341819,0.33864321593747454,0.7924665565420683,0.2570037936491528,0.93651794860881,0.7046034336961595,0.8717197723898962,0.08531026181321877,0.7278636955954016,0.008876732384880936,0.8972179222713598,0.9497139349670267,0.8649991902829341,0.40411632904736694,0.3541873469235457,0.8332426008366383,0.30470490015546203,0.11377709585970691
BIIB,0.39426539128858556,0.4810419348712367,0.5226401035104669,0.13342533986346578,0.2706615646314299,1.0,0.4856039868621228,0.3880588244821446,0.43073002166225755,0.10707647724217856,0.37949255981512475,0.6903373151939658,0.2716195791503491,0.7043691514140029,0.6682467377272157,0.42759975638972125,0.24162178375717713,0.7739229740898583,0.3675511061563024,0.2832729097157844,0.6134223664085914,0.17496581776430165,0.3514096877388623,0.5048795106921826,0.3198951107142726,0.6665680048076876,0.31084781979449816,0.5506442314223794,0.29282501909814135,0.3507162633620254,0.23186971411669255,0.6821669391493248,0.7344031192302047,0.6568229480872827,0.34294709985474603,0.22748856424760117,0.5786552604695228,0.34001412825445176,0.1238139648789311
BNTX,0.9452614291087785,0.3847300078167792,0.3540818321637542,0.6502629802071749,0.8486259297133213,0.4856039868621228,1.0,0.3347713007973405,0.2028244413638906,0.2482977115230448,0.16281249226474798,0.42816551913220546,0.20961686740044583,0.631835012245595,0.3477255841677354,0.458550650976433,0.2545650570316324,0.38727657053035464,0.6338009622889403,0.26623165473390686,0.28837125350446835,0.14956479040401183,0.3164078754509446,0.44515827350242676,0.38298925268671596,0.32194352131737897,0.03272530096679764,0.5116575788009797,0.380390689900427,0.2865714851299116,0.26941589171668806,0.43132521635371734,0.4497930495565685,0.5247017517509887,0.6232507670180433,0.12829118315017513,0.4258078021464145,0.5273035428139639,0.18611081285644948
CRSP,0.6964915009108937,0.22910404533794243,0.37651747377647793,0.5011090261365477,0.4625244388106506,0.3880588244821446,0.3347713007973405,1.0,0.0008767078384926916,0.6108826662135207,0.17298459387038728,0.042692563150845866,0.37630909046244726,0.6735481444473427,0.5564099245340456,0.508567845544789,0.12987634073533522,0.5509303224067994,0.3623732626845465,0.32555063082449587,0.2607936083668272,0.4214845439657456,0.0059519171953108345,0.4266756476942162,0.001082043753667096,0.3088933847241721,0.4046006172264405,0.3426819905411489,0.030477096276609057,0.433781313077671,0.33539086737492246,0.39560642511860233,0.3866828184800119,0.21522957848002133,0.3084954685646307,0.04881790157481269,0.12209300921329796,0.18780775007550332,0.1256664018389636
DRIO,0.5129635811486642,0.2937976167654003,0.11344610609337741,0.22219482782791888,0.2361005379207632,0.43073002166225755,0.2028244413638906,0.0008767078384926916,1.0,0.5775650071654088,0.2663272081632688,0.07049658244311041,0.30610635774813766,0.7482861788328683,0.6023865866809223,0.6720863487101828,0.013075106006728876,0.6546944230362419,0.3962809069636929,0.12021787709848658,0.1320231382157429,0.32655263259751893,0.0017576178127370612,0.5811641161540706,0.0009517597517262015,0.3656730096527504,0.4481396383546815,0.5352014004972142,0.005434412187324352,0.6687301689892139,0.14200565144793903,0.6061845982067487,0.5584471006228678,0.45561881263806997,0.2762172972357227,0.06960937348422817,0.43596086299640135,0.15625160522716453,0.014593287589614241
DXCM,0.7504454893288233,0.4181869587682695,0.6444548724198531,0.5128611995561703,0.7838560004518833,0.10707647724217856,0.2482977115230448,0.6108826662135207,0.5775650071654088,1.0,0.12223915103739658,0.24014020686147736,0.07443719957200554,0.4077412800801621,0.2994192293822404,0.4016403786993659,0.15573726742710764,0.12459013029068078,0.13923989992755736,0.11405298881630832,0.25660537567011144,0.03574867583278705,0.23350615690639032,0.15269586139044072,0.22281688213047596,0.27526890060377285,0.14261900560793583,0.3853363845672287,0.22325612167408215,0.14721989325638835,0.14534465138140873,0.3518835992659485,0.24037940703145072,0.2680409904510291,0.2768219071418294,0.09714962171201547,0.2750070981040242,0.24432591149887922,0.047380847796795154
ENTA,0.7506728448421529,0.4424650629769293,0.6641033926025992,0.04034239843215652,0.3341587533702052,0.37949255981512475,0.16281249226474798,0.17298459387038728,0.2663272081632688,0.12223915103739658,1.0,0.7202254625686213,0.534781173895132,0.7874322652699446,0.8064276517799611,0.7521902942642521,0.1275355257258946,0.8697812339674624,0.7182445576203254,0.1362631212776273,0.5608875282278811,0.3313057448667534,0.4466036562284357,0.1515329552398122,0.49900493457742057,0.6477839489833759,0.47935775900331346,0.7649253462054891,0.5330086547578167,0.7608473372797042,0.062805614206099,0.8032528759188735,0.8294055403382703,0.7491518619518106,0.5010952366906241,0.04660185103265664,0.7960267415393738,0.48874632482525565,0.2357293310458632
EXAS,0.9529682631262917,0.28007829767831394,0.6988567624367727,0.7189616389563902,0.8428165896253778,0.6903373151939658,0.42816551913220546,0.042692563150845866,0.07049658244311041,0.24014020686147736,0.7202254625686213,1.0,0.6916347292606975,0.24759674795329717,0.40940658528463825,0.5982020426547421,0.428626670613961,0.4392661823961745,0.5767497707275565,0.5835733752132055,0.3515838102064952,0.5440704216366934,0.13446272968510303,0.587179270260502,0.043877061295617886,0.40456676451368506,0.4672227762419746,0.4613190633536175,0.04269650810421171,0.6251350548810228,0.5149421080354248,0.5027763986314255,0.294312896113475,0.1685968781284829,0.42620173193636146,0.3974698790204925,0.02631621036612823,0.34808161972531393,0.8317698384024197
GILD,0.4363015853068537,0.4817984107144157,0.5790841271886136,0.38488741397601467,0.28485839607842867,0.2716195791503491,0.20961686740044583,0.37630909046244726,0.30610635774813766,0.07443719957200554,0.534781173895132,0.6916347292606975,1.0,0.9910231452139844,0.99193649779408,0.9583063097570973,0.9189640780928414,0.9915603086222162,0.7053909580650786,0.7112952841827618,0.9848833278224316,0.8599494579182749,0.8526059354491575,0.9170102050850999,0.8498278243691018,0.9917347067749782,0.8600558631526873,0.99033657465764,0.8433574667867567,0.7463239798463778,0.7434066056541506,0.9916784351633359,0.9924883696014555,0.9923365957708904,0.9372866947738607,0.8762674860901378,0.9917692884185633,0.9506870219436833,0.5260535445531704
